user_id,product_id,product_category,product_name,description,price,review_score,Crawl Timestamp,Qty
7581256481d9b76346e1466d6a3be017,B071F5W99G,Skin Care, goree Beauty Cream Whitening Anti Ageing Spots Pimples Removing x 2 ,"Condition: new: a brand-new, unused, unopened, undamaged item (including handmade items), brand: goree, expiration date: 2017. 12. 28, skin type: all skin types",5290,5,2019-10-31 16:51:21 +0000,50
8b5f0813c6686fc50fddc742540b1b24,B07B52V4Q7,Skin Care," [Christian Dean]Pure Skin Snail Essence 150ml/Anti-wrinkle,Whitening,Snail mucin ","?Multi-function all in one ?Anti-wrinkle ?Whitening essence ?Restores nourishment to its original condition ?The best snail essence for you Multi-function all in one also includes soluble collagen and Centella Asiatica extract to block moisture loss and add suppleness and softness to highly sensitive skin. Whitening and Anti-wrinkle, double functional essence to provide skin cell regeneration to the damaged skin cells. Snail mucin, secretion filtrate for super intense repair and hydration. Think of this like vitamins for your face since it's loaded with replenishing and revitalizing nutrients to help prevent and repair damage, giving you ultimate elasticity and hydration. Snail mucin has the ability to repair everything from dry patches, to acne breakouts while helping zap hyperpigmentation, so with loyal use your skin will glow to look its healthiest. [How to Use] Apply to entire face tapping lightly. Use more layers upon dried out or dry prone areas",3170,5,2019-10-31 17:08:01 +0000,100
00469a2d06efd8f3bd43eb564323ca82,B01G3K3OVC,Fragrance," AXE Recharge Game Face Bodyspray, 150ml ","The World’s # 1 Male Deodorant Axe, presents a range of deodorant bodysprays for men. Designed by the world’s leading perfumers, the Axe Recharge range of deodorant bodysprays not only helps you smell good but also keeps you fresh, clean and energised. Axe Recharge Deodorant Bodysprays have energy-filled fragrances that are boosted by heat. From the moment the spray touches your skin to multiple ‘hot moments’ throughout the day, Axe Recharge Deos will give you a burst of freshness when you need it the most. With a ‘one press spray can’ it reaches all over your body. Spray it on your underarms, neck, chest and back and feel the freshness in every pore of your body. Get ready to beat the heat with Axe Recharge Game Face Deodorant Bodyspray. As the temperature rises, this rejuvenating, spicy fragrance infuses you with a burst of freshness and energy. This deodorant bodyspray is best suited for those that play to win. Its powerful and long-lasting fragrance ensures you always stay fresh and focused. The bottle is extremely lightweight which makes it travel friendly. It is not just an ideal gift for yourself but for your loved ones too. This deodorant bodyspray is safe on skin and is suitable for everyday use. With Axe Recharge Game Face Deodorant Bodyspray by your side you will never get bogged down by the heat again.",170,5,2019-10-31 03:06:18 +0000,50
0c8bc3672178ddd3e548bca4a1f2d7fe,B07CG2ZWKD,Detergents & Dishwash," Sunshine Detergent Gel 500ml,Pink ","Completely safe and used as variety of surface like kitchen counter,floors, bathrooms, Cleans Tough Stains",90,5,2019-10-31 03:06:44 +0000,400
22a7b5bb85a2f28b9aed46e6ae3af6fd,B07QL7YBT1,Grocery & Gourmet Foods, Eden Sushi Ginger Pickles 2.1 Oz ,"A Colorful Garnish Traditionally Served In Sushi Shops And Appreciated For Its Zesty Flavor. Flavorful Brine Is Made Of Rice Vinegar, Ume Vinegar, Shiso Leaves And Sea Salt. Macrobiotic, Vegan, Kosher",3840,5,2019-10-30 22:51:53 +0000,200
7dd4153bbd2eab57719e295344025c2b,B07PYZS937,Hair Care, Majik Latest Combo Of 3 Pcs Hair Building Fibers For Hair Thickening For Men And Women 7 Grams Dark Brown Pack Of 1 ,"The Secret to Getting Your Lost Confidence from Thinning Hair Back in Seconds! Are you man or woman struggling with thinning hair or hair loss? Then we may have the solution for you... Have you noticed that more people these days tend to be able to hide hair loss or less people around you seem to be losing hair? The truth is that millions of people deal with hair loss everyday but many of them know to conceal it by using Majik Hair Fibers. You too can hide your hair loss, giving you the amazing undetectable appearance of a full thick head of hair in just seconds. Majik Hair Fibers Can Work for Anyone with Hair Loss: - Hair Building Fibers Instantly Conceal Thinning Hair for Both Men & Women. - It Covers Thin or Balding Spots On The crown and Around the Hairline. - Conceals Thinning Hair for Women, Concealing Areas Around the Temples & Along the Hair Part Line. - It can even be used as a Root Concealer or Fill in Powder. - Majik Works On All Hair Colors & All Types Of Hair! Why Choose Majik Hair Fibers? - It Works Instantly! Covering thinning hair or bald spots in under 30 seconds. - Majik Hair fibers are undetectable and blend perfectly in with your own natural hair color. - Our hair fibers are not greasy or oily, it keeps your hair volumized and thick all day. - Majik Fibers are rain & wind resistant. The Hair Building Fibers Wash out with any shampoo. - Perfect for people who would prefer to not take medication for hair loss or balding, like Propecia or Rogaine. - Majik Hair Fibers work perfectly in conjunction with all hair loss products, oral or topical. Click the ""Add to Cart"" Button on the Top Right Side of this Page Now to Never Worry About Your Thinning Hair in Public Again!",599,4,2019-10-31 07:41:45 +0000,600
17e61b97c24b6f5764874e119bdde5be,B07Q75XCBZ,Skin Care, Branded SLB Works New Professional Acetone Resistant Soak Off Warm Nail Spa Bowl Manicure Tool pi M6E4 ,"Item name: professional acetone resistant soak off warm nail spa bowl manicure tool pi m6e4 professional acetone resistant soak off warm nail spa bowl manicure tool pi m6e4 acetone resistant, can be filled with water for water bath for nail or acetone or other desired soaking liquid. For artificial nail removal, uv tanning bed protection. Add soaking solution to finger wells and insert fingers. Suitable for nail treatment, remaining false nails and cuticle, nail nutrition & sterilization treatment. Color: pink material: plastic size: 150mm x 120mm (45mm in height) babble spa soak bowl (pink) is made of plastic for soaking off nail tips. Package component: 1pc nail spa bowl note: light shooting and different displays may cause the color of the item in the picture a little different from the real thing. The measurement allowed error is +/- 1-3cm.",1390,1,2019-10-29 00:46:36 +0000,120
559aa2829ff5864c936652054e4d9dad,B078TCW3JN,Hair Care, Mehandika Herbal Henna (140gm Pack of 2) ,"Mehandika Pure Rajasthani Herbal Henna Powder takes to the best superiority henna with nine preferred natural herbs valued for their hair care benefits. The ingredients are additional to offer hair the wonderful shiny and silky feel that the hair deserves. Known as an entire treatment for hair, it holds original herbals, no chemicals. It can be used by self with easy process, within 30 minutes of time. After using this Mehandika Rajasthani Herbal Henna Powder there is no any kind of itching or burn and saves more of the time.",140,5,2019-10-31 03:56:15 +0000,200
09dc7e105efd17648628886e82eec47a,B07HLN9C32,Skin Care, GSEVENTY0NE Khaki XL: Maternity Waist Trainer Corset Slimming Body Shapers Hot Modeling Strap Belt Bodysuit Shapewear Cincher for Postpartum Women ,"Department name: maternity, gender: women, model number: ws4403, item type: belly bands & support, material: spandex, polyester, fabric type: broadcloth, brand name: south swallow, color style: natural color, color: blcak/khaki, size: xs, s, m, l, xl, xxl. Xxxl, 4xl, 5xl, item type: waist shaper, season: spring/summer/autumn/winter, used for: lose weight, slimming, characteristic of material: super breathable, function of product: abdomen / waist / shaping, made in: china mainland, stock or nor: yes, unit type: piece, package weight: ,package size:",3937,5,2019-10-30 22:29:15 +0000,100
d8dea7ecce74c4a89351da141583364d,B07TRXL4KR,Skin Care, Stockout TOO FACED Melted Matte Liquified Long Wear Matte Lipstick - COLOR: Bend & Snap! - matte deep raspberry - Matte finish ,"Matte color gets a makeover. Too Faced’s innovative formula glides onto lips like a gloss but dries to an ultra-matte, opaque finish. Melted Matte ensures that your lip color always looks rich, full, and kissable—and is never dry, shriveled, or cracked. The doe-foot applicator comfortably coats lips in bursts of intense, vivid matte color that lasts for hours. It’s infused with Volulip for a no-sting plumping and smoothing effect and antioxidant-rich avocado oil and vitamin E to moisturize, while hyaluronic filling spheres smooth the look of lip lines. It comfortably coats lips with a wash of intense, high-impact, super-saturated color that lasts for hours.",5099,5,2019-10-30 04:44:18 +0000,300
